Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,20pf,C1554
"C11, C12, C8",0402,3,22uf,C415703
"C2, C3, C9",0402,3,0.1uF,C307331
C5,0805,1,10uF,C162422
"D1, D2, D4",D_SOD-323,3,1N5819WS,C191023
J1,TestPoint_Pad_1.0x1.0mm_6pad,1,Conn_01x06_Pin,DNP
J2,JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,1,SM12B-GHS-TB(LF)(SN),C265421
"K1, K2",Relay_DPDT_Omron_G6K-2F-Y,2,G6K-2F-Y,C2982926
L1,1008,1,6.8uH,C98340
"R1, R10, R11, R12, R2, R4, R5, R7, R8, R9",0402,10,10K,C25744
R14,0402,1,182k,C11481
R15,0402,1,62k,C137950
U1,TSOT-23-6,1,AP63201WU,C2071044
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,TBD62003AFWG,C114084
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768khz 3215 12.5pf,C32346
